Sample,Ann,Moll,Art,Ech,Misc, Total,Ann g/m2,Moll g/m2,Art g/m2,Ech g/m2,Misc g/m2, Total g/m2,,,,
HS2,0.0078,0.0888,0.0147,0,0.0008,0.1121,0.194166667,2.220833333,0.3675,0,0.02,2.8025,,,,
HN2,0.02,0.16,0.0072,0.156,0.0069,0.3501,0.500833333,4.000833333,0.18,3.899166667,0.1725,8.753333333,,,,
ES21,0.0226,0.0424,0.0166,0.0087,0.0094,0.0997,0.564166667,1.060833333,0.414166667,0.2175,0.235833333,2.4925,,,,NO
GS2,0.0275,0.291,0.0069,0,0.0013,0.3267,0.688333333,7.274166667,0.173333333,0,0.0325,8.168333333,,,,
NDK1,0.0281,0.5562,0.0058,0.0007,0.0104,0.6011,0.701666667,13.90416667,0.145833333,0.016666667,0.259166667,15.0275,,,,
WS1,0.0341,0.0249,0,0,0,0.059,0.851666667,0.6225,0,0,0,1.474166667,,,,
DK-CAN,0.0359,0.0172,0.0906,0.0217,0.0023,0.1678,0.898333333,0.430833333,2.264166667,0.543333333,0.0575,4.194166667,,,,
SIP6,0.0422,0.2523,0.0266,0,0.0125,0.3336,1.054166667,6.3075,0.665833333,0,0.311666667,8.339166667,,,,
GS3,0.0454,0.1993,0.0089,0.0021,0.0065,0.2621,1.135,4.981666667,0.221666667,0.0525,0.161666667,6.5525,,,,
SIP1,0.0475,0.8499,0.1032,0,0.1616,1.1622,1.1875,21.24833333,2.58,0,4.04,29.05583333,,,,
SIP2,0.0508,0.2318,0.0025,0.0001,0.0148,0.2999,1.269166667,5.795,0.061666667,0.001666667,0.370833333,7.498333333,,,,
NDK5,0.0527,0.089,0.0297,0,0.0112,0.1826,1.3175,2.225,0.7425,0,0.28,4.565, ,,,
CC12,0.0543,0.0258,0,0.0185,0.0057,0.1043,1.3575,0.645833333,0,0.461666667,0.141666667,2.606666667,,,,
GS5,0.0546,0.4239,0.1309,0.0045,0.0047,0.6185,1.364166667,10.59666667,3.2725,0.113333333,0.116666667,15.46333333,,,,
ES20,0.0547,0.1084,0.043,0.4944,0.0025,0.7031,1.368333333,2.71,1.074166667,12.36083333,0.063333333,17.57666667,,,,
GS28,0.0575,0.1781,0.0038,0.0007,0.2523,0.4923,1.4375,4.451666667,0.094166667,0.018333333,6.306666667,12.30833333,,,,
