Station Name,Phylum,Class,Order,Family,Taxa,Rep A,Rep B,Rep C,Total
PSR1,Annelida,Polychaeta,Amphinomida,Amphinomidae,Paramphinome sp. B,4,1,0,5
PSR1,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,1,0,1,2
PSR1,Annelida,Polychaeta,Orbiniida,Orbiniidae,Orbiniidae (LPIL),5,7,6,18
PSR1,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,0,0,1,1
PSR1,Annelida,Polychaeta,Phyllodocida,Pilargidae,Ancistrosyllis jonesi,2,0,0,2
PSR1,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,0,2,2
PSR1,Annelida,Polychaeta,Scolecida,Capitellidae,Notomastus latericeus,2,0,1,3
PSR1,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,6,4,12,22
PSR1,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,3,1,3,7
PSR1,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Haustoriidae (LPIL),1,0,0,1
PSR1,Mollusca,Bivalvia,Arcoida,Arcidae,Lunarca ovalis,1,0,0,1
PSR1,Mollusca,Bivalvia,Venerida,Veneridae,Pitar (LPIL),0,1,0,1
PSR1,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,1,0,1,2
PSR1,Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,Epitonium rupicola,1,0,0,1
PSR1,Nemertea,Anopla,Heteronemertea,Lineidae,Lineidae (LPIL),1,0,0,1
PSR1,Nemertea,,,,Nemertea (LPIL),1,0,1,2
PSR2,Annelida,Polychaeta,Cossurida,Cossuridae,Cossura soyeri,1,0,1,2
PSR2,Annelida,Polychaeta,Eunicida,Lumbrineridae,Lumbrineridae (LPIL),2,0,4,6
PSR2,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,2,1,1,4
PSR2,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,1,0,1,2
PSR2,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera americana,0,0,3,3
PSR2,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,0,1,2
PSR2,Annelida,Polychaeta,Phyllodocida,Hesionidae,Gyptis vittata,0,1,0,1
PSR2,Annelida,Polychaeta,Phyllodocida,Hesionidae,Podarkeopsis levifuscina,2,0,1,3
PSR2,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereididae (LPIL),0,1,0,1
