Area,Station ,Phylum,Class,Order,Family,Taxa,Rep A,Rep B,Rep C,Total,density,#/m2
BOR,BS-1,Annelida,Polychaeta,Orbiniida,Orbiniidae,Orbiniidae (LPIL),1,1,0,2,50,
BOR,BS-1,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,4,2,1,7,175,
BOR,BS-1,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,2,3,6,150,
BOR,BS-1,Annelida,Polychaeta,Phyllodocida,Nereididae,Nereididae (LPIL),0,0,3,3,75,
BOR,BS-1,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,0,0,1,1,25,
BOR,BS-1,Annelida,Polychaeta,Scolecida,Capitellidae,Mediomastus (LPIL),0,0,4,4,100,
BOR,BS-1,Annelida,Polychaeta,Scolecida,Capitellidae,Notomastus latericeus,0,0,2,2,50,
BOR,BS-1,Annelida,Polychaeta,Spionida,Chaetopteridae,Spiochaetopterus oculatus,0,0,1,1,25,
BOR,BS-1,Annelida,Polychaeta,Spionida,Magelonidae,Magelona uebelackerae,1,0,0,1,25,
BOR,BS-1,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirratulidae (LPIL),1,0,2,3,75,
BOR,BS-1,Annelida,Polychaeta,Terebellida,Terebellidae,Loimia medusa,0,4,2,6,150,
BOR,BS-1,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca sp. R,1,0,3,4,100,
BOR,BS-1,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus (LPIL),0,1,0,1,25,
BOR,BS-1,Echinodermata,Holothuroidea,Dendrochirotida,Phyllophoridae,Phyllophoridae (LPIL),1,0,0,1,25,
BOR,BS-1,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara floridana,1,0,0,1,25,
BOR,BS-1,Mollusca,Bivalvia,Myoida,Corbulidae,Caryocorbula contracta,1,0,0,1,25,
BOR,BS-1,Mollusca,Bivalvia,Pholadomyoida,Pandoridae,Pandora trilineata,2,1,2,5,125,
BOR,BS-1,Mollusca,Bivalvia,Venerida,Mactridae,Mulinia lateralis,1,0,0,1,25,
BOR,BS-1,Mollusca,Bivalvia,Cardiida,Tellinidae,Angulus versicolor,0,0,2,2,50,
BOR,BS-1,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius acutus,4,3,2,9,225,
BOR,BS-1,Mollusca,Gastropoda,Neotaenioglossa,Naticidae,Tectonatica pusilla,0,1,0,1,25,
BOR,BS-1,Nemertea,,,,Nemertea (LPIL),0,4,0,4,100,
BOR,BS-2,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra cuprea,1,3,1,5,125,
BOR,BS-2,Annelida,Polychaeta,Orbiniida,Orbiniidae,Leitoscoloplos (LPIL),4,1,3,8,200,
BOR,BS-2,Annelida,Polychaeta,Oweniida,Oweniidae,Owenia fusiformis,1,0,1,2,50,
BOR,BS-2,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera americana,0,1,0,1,25,
BOR,BS-2,Annelida,Polychaeta,Phyllodocida,Goniadidae,Glycinde solitaria,1,3,0,4,100,
BOR,BS-2,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra tentaculata,2,3,0,5,125,
BOR,BS-2,Annelida,Polychaeta,Phyllodocida,Polynoidae,Polynoidae (LPIL),0,2,0,2,50,
BOR,BS-2,Annelida,Polychaeta,Scolecida,Maldanidae,Sabaco elongatus,2,4,0,6,150,
