OBJECTID,lat,lon,island,abbr
1,30.38906277,-88.88628905,Deer,D
2,30.38915829,-88.88123278,Deer,D
3,30.38813563,-88.87617719,Deer,D
4,30.38575143,-88.87194017,Deer,D
5,30.3834805,-88.86752699,Deer,D
6,30.38192579,-88.8627927,Deer,D
7,30.380267,-88.85807345,Deer,D
8,30.37865667,-88.85327168,Deer,D
9,30.37744787,-88.84829286,Deer,D
10,30.37564887,-88.84359139,Deer,D
11,30.37417443,-88.83869507,Deer,D
12,30.37270761,-88.8341085,Deer,D
13,30.37265988,-88.82954101,Deer,D
14,30.36999686,-88.82560326,Deer,D
15,30.36720483,-88.82200891,Deer,D
16,30.36423919,-88.81901938,Deer,D
17,30.36027729,-88.81865346,Deer,D
18,30.36257971,-88.82299534,Deer,D
19,30.36493186,-88.82737698,Deer,D
20,30.36721234,-88.83186257,Deer,D
21,30.36913842,-88.8365536,Deer,D
22,30.37097393,-88.8412964,Deer,D
23,30.36934861,-88.84009868,Deer,D
24,30.36774956,-88.83523948,Deer,D
25,30.36524676,-88.83102469,Deer,D
26,30.36349391,-88.826269,Deer,D
27,30.36414493,-88.82915127,Deer,D
28,30.36582701,-88.83397024,Deer,D
29,30.36830267,-88.83827529,Deer,D
30,30.37042913,-88.84286214,Deer,D
31,30.37279341,-88.84729072,Deer,D
32,30.37528209,-88.85162605,Deer,D
33,30.37741029,-88.85621242,Deer,D
34,30.37964241,-88.86073246,Deer,D
35,30.38161464,-88.86540635,Deer,D
36,30.38319688,-88.87027181,Deer,D
37,30.38466752,-88.87518965,Deer,D
38,30.38636983,-88.87999253,Deer,D
39,30.38816361,-88.88466553,Deer,D
40,30.38903175,-88.88969598,Deer,D
