CurrentVR2WStatus,Receiver,Model,Map_Version,Transmitter,Tag_ID,StationName,Latitude,Longitude,River,Subsystem,RKM,Depth_ft,Rig,Battery_ch,Deployed,Deploy_Time,Retrieval_Date,Retrieval_Time,Project,VR2Owner,Launch,Hobo,Notes,
SHELVED,136178,VR2W,115,NA,NA,BC_Franklinton,30.84353,-90.16171,PE,BC,166.7704101,,Bridge,NA,2/9/2021,,8/20/2021,,Prj1,FWS-Prj1,"Pearl St, Franklinton",NA,"Boat ramp access behind Sheriffs office and taking a left at the dirt fork, shallow, long, launch but, well maintained and busy. Bridge attachment to piling, 6+ft, silty sand bottom; Receiver recorded as 136179 but is actually 136178 ",
DEPLOYED,136178,VR2W,115,NA,NA,BC_Franklinton,30.84026,-90.16162,PE,BC,166.7704101,,Bridge,NA,3/9/2022,15:07,,,Prj1,FWS-Prj1,"Pearl St, Franklinton",NA,"Boat ramp access behind Sheriffs office and taking a left at the dirt fork, shallow, long, launch but, well maintained and busy. On tree downstream of bridge on boat launch side. Far too shallow to launch, walked in from boat launch. Data entered by ERH ",
SHELVED,136180,VR2W,115,NA,NA,BC_HWY38,30.9224,-90.20458,PE,BC,182.9443214,,Bridge,NA,2/9/2021,,8/20/2021,,Prj1,FWS-Prj1,Walk,20710737,"Park to the right side of road across from reception place and walk down road that leads down the side of the bridge, soft sand so driving not advised. Attached to front piling 6+ft gravel/ sandy bottom temp logger 1134",
DEPLOYED,136180,VR2W,115,NA,NA,BC_HWY38,30.92239,-90.20458,PE,BC,182.9443214,,Tree,NA,3/9/2022,13:30,,,Prj1,FWS-Prj1,Walk,NA,"Park to the right side of road across from reception place and walk down road that leads down the side of the bridge, soft sand so driving not advised. Attached to front piling 6+ft gravel/ sandy bottom. Same piling as last year. Data entered by ERH",
MISSING?,136176,VR2W,114,NA,NA,BC_HWY437,30.72023,-90.08329,PE,BC,141.892411,,Bridge,NA,3/22/2021,,,,Prj1,FWS-Prj1,BC Tubing Center,NA,"Downstream of bridge on starboard side bank when heading up river. Attached to willow tree? on the river. Pics on Eric's phone, 3hr boat ride from Lock 3 to hwy437 bridge and about 1 hr from Bouge Chitto Tubing Center.",
SHELVED,136156,VR2W,115,NA,NA,BC_HWY48,31.11719,-90.25168,PE,BC,215.3193538,,Bridge,NA,2/9/2021,,8/20/2021,,Prj1,FWS-Prj1,New River Rd,NA,"Excellent boat ramp, not steep and well maintained. Attached to front right side bridge piling",
DEPLOYED,136156,VR2W,115,NA,NA,BC_HWY48,31.11707,-90.395,PE,BC,215.3193538,,Tree,NA,3/9/2022,12:30,,,Prj1,FWS-Prj1,New River Rd,NA,Attached to old tressel's last piling downstream on the east bank. Have to either use boat or walk from opposite side of bridge than boat launch if water levels are too low like is was today. Data entered by ERH,
SHELVED,136183,VR2W,115,NA,NA,BC_HWY570,31.29738,-90.39497,PE,BC,250.9698174,,Bridge,NA,2/9/2021,,8/20/2021,,Prj1,FWS-Prj1,Walk,NA,"Pull off on the left with turn around and gate, old road leads under the bridge but, not navigatabile via car. Attached to front piling, depth 6-8ft with gravel/ sand bottom",
DEPLOYED,136183,VR2W,115,NA,NA,BC_HWY570,31.29738,-90.395,PE,BC,250.9698174,,Tree,NA,3/9/2021,11:02,,,Prj1,FWS-Prj1,Walk,20710766,"Pull off on the left with turn around and gate, old road leads under the bridge but, not navigatabile via car. Attached to front piling, depth 6-8ft with gravel/ sand bottom. Same piling as last year. Data entered by ERH",
DEPLOYED,136162,VR2W,114,NA,NA,BC_S_Choctaw,30.66992,-90.00143,PE,BC,128.0106884,,Bridge,NA,3/22/2021,,,,Prj1,FWS-Prj1,BC Tubing Center,NA,"Attached to downstream bridge piling on northern side using leash method, pics on Eric's phone. Can launch from Hwy21 bridge ramp if BC tubing ramp is closed.",
DEPLOYED,136162,VR2W,115,NA,NA,BC_S_Choctaw,30.66992,-90.00143,PE,BC,128.0106884,,Bridge,NA,3/9/2022,16:47,3/9/2022,,Prj1,FWS-Prj1,BC Tubing Center,NA,"Receiver downloaded, firmware and map updated. Battery change couldn't happen due to needing to get it by walking. Data entered by ERH",
MISSING?,136167,VR2W,,NA,NA,BC_W_Walkiah,30.56877,-89.82789,PE,BC,88.40000537,,Tree,NA,2/10/2021,,,,Prj1,FWS-Prj1,Lock 1 lower ramp,NA,"Attached to small grouping of birch trees at mouth of BC, silty sand mud, 6+ ft, 1 hr round trip",
MISSING,137598,VR2W,115,NA,NA,BI_CC_NO1,30.24,-88.9241,MSS,BI,0,5,BUOY,September,9/27/2021,11:01,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,137599,VR2W,115,NA,NA,BI_CC_NO2,30.2502,-88.9242,MSS,BI,0,5,BUOY,September,9/27/2021,10:56,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,137600,VR2W,115,NA,NA,BI_CC_SO1,30.2037,-88.9203,MSS,BI,0,5.9,BUOY,September,9/27/2021,8:40,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,102344,VR2W,115,NA,NA,BI_CC_SO2,30.193,-88.9198,MSS,BI,0,7.7,BUOY,September,9/27/2021,8:34,,,ShipIsland,MMNS,GCRL,NA,,
SHELVED,137602,VR2W,115,NA,NA,BI_CC10,30.2238,-88.9278,MSS,BI,0,5,BUOY,September,9/9/2021,11:58,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,137603,VR2W,115,NA,NA,BI_CC11,30.2258,-88.9188,MSS,BI,0,5,BUOY,September,9/9/2021,12:07,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,137604,VR2W,115,NA,NA,BI_CC12,30.2285,-88.909,MSS,BI,0,5,BUOY,September,9/9/2021,12:17,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,137605,VR2W,115,NA,NA,BI_CC13,30.2372,-88.9002,MSS,BI,0,5,BUOY,September,9/9/2021,12:25,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,137606,VR2W,115,NA,NA,BI_CC14,30.2128,-88.9297,MSS,BI,0,3.8,BUOY,September,9/9/2021,10:16,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,137607,VR2W,115,NA,NA,BI_CC15,30.2145,-88.9204,MSS,BI,0,3.9,BUOY,September,9/9/2021,10:12,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,102335,VR2W,115,NA,NA,BI_CC16,30.2174,-88.9115,MSS,BI,0,3.1,BUOY,September,9/9/2021,10:08,,,ShipIsland,MMNS,GCRL,NA,,
SHELVED,102343,VR2W,115,NA,NA,BI_CC17,30.2215,-88.9023,MSS,BI,0,4.9,BUOY,September,9/9/2021,10:05,,,ShipIsland,MMNS,GCRL,NA,,
SHELVED,137601,VR2W,115,NA,NA,BI_CC5,30.2269,-88.9345,MSS,BI,0,5,BUOY,September,9/9/2021,11:53,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,102350,VR2W,115,NA,NA,BI_CC6,30.2295,-88.9251,MSS,BI,0,5,BUOY,September,9/9/2021,12:02,,,ShipIsland,MMNS,GCRL,NA,,
MISSING,102352,VR2W,115,NA,NA,BI_CC7,30.232,-88.9163,MSS,BI,0,5,BUOY,September,9/9/2021,12:11,,,ShipIsland,MMNS,GCRL,NA,,
SHELVED,105264,VR2W,115,NA,NA,BI_CC8,30.2347,-88.907,MSS,BI,0,5,BUOY,September,9/9/2021,12:21,,,ShipIsland,USM,GCRL,NA,,
SHELVED,105267,VR2W,115,NA,NA,BI_CC9,30.2216,-88.936,MSS,BI,0,5,BUOY,September,9/9/2021,11:49,,,ShipIsland,USM,GCRL,NA,,
SHELVED,133454,VR2W,115,NA,NA,BI_DK_CAN,30.245,-88.7825,MSS,BI,0,10.5,CAN,September,11/8/2021,9:03,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121067,VR2W,115,NA,NA,BI_DK1,30.243,-88.8601,MSS,BI,0,2,BUOY,September,9/9/2021,9:43,11/8/2021,11:10,ShipIsland,ERDC,GCRL,NA,,
SHELVED,485275,VR2Tx,115,A69-1601-MSS,62304,BI_DK1,30.2485,-88.8607,MSS,BI,0,2,BUOY,September,11/8/2021,11:21,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124188,VR2W,115,NA,NA,BI_DK11,30.2439,-88.801,MSS,BI,0,3.4,BUOY,September,9/9/2021,8:50,11/8/2021,9:46,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124188,VR2W,115,NA,NA,BI_DK11,30.2458,-88.802,MSS,BI,0,3.4,BUOY,September,11/8/2021,9:57,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121065,VR2W,115,NA,NA,BI_DK13,30.2452,-88.7906,MSS,BI,0,4.3,BUOY,September,9/9/2021,8:41,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124193,VR2W,115,NA,NA,BI_DK15,30.2364,-88.7796,MSS,BI,0,3.8,BUOY,September,9/9/2021,8:32,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124186,VR2W,115,NA,NA,BI_DK3,30.2455,-88.8463,MSS,BI,0,2.2,BUOY,September,9/9/2021,9:30,11/8/2021,10:57,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124186,VR2W,115,NA,NA,BI_DK3,30.2493,-88.8487,MSS,BI,0,2.2,BUOY,September,11/8/2021,11:03,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121056,VR2W,115,NA,NA,BI_DK5,30.2494,-88.8368,MSS,BI,0,3.6,BUOY,September,9/9/2021,9:21,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121064,VR2W,115,NA,NA,BI_DK7,30.2472,-88.8257,MSS,BI,0,3.1,BUOY,September,9/9/2021,9:17,11/8/2021,10:36,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121064,VR2W,115,NA,NA,BI_DK7,30.2487,-88.8254,MSS,BI,0,3.1,BUOY,September,11/8/2021,10:40,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121060,VR2W,115,NA,NA,BI_DK9,30.2467,-88.8137,MSS,BI,0,3.2,BUOY,September,9/9/2021,9:06,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,124185,VR2W,115,NA,NA,BI_ES_NO1,30.2608,-88.8873,MSS,BI,0,5.6,BUOY,September,9/27/2021,10:40,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,121784,VR2W,115,NA,NA,BI_ES_NO2,30.2711,-88.8875,MSS,BI,0,5.3,BUOY,September,9/27/2021,10:45,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,121785,VR2W,115,NA,NA,BI_ES_SO1,30.2173,-88.8874,MSS,BI,0,7.6,BUOY,September,9/27/2021,8:09,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,121786,VR2W,115,NA,NA,BI_ES_SO2,30.2069,-88.8876,MSS,BI,0,8.2,BUOY,September,9/27/2021,8:15,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112906,VR2W,115,NA,NA,BI_ES18,30.2522,-88.8729,MSS,BI,0,5,BUOY,September,9/9/2021,12:37,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112901,VR2W,115,NA,NA,BI_ES19,30.2526,-88.8651,MSS,BI,0,4.8,BUOY,September,9/9/2021,12:41,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124187,VR2W,115,NA,NA,BI_ES20,30.243,-88.8689,MSS,BI,0,3.9,BUOY,September,9/9/2021,9:51,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112916,VR2W,115,NA,NA,BI_ES21,30.2429,-88.863,MSS,BI,0,3.8,BUOY,September,9/9/2021,9:45,11/8/2021,11:31,ShipIsland,ERDC,GCRL,NA,,
SHELVED,487506,VR2Tx,115,A69-1601-MSS,62972,BI_ES21,30.2429,-88.863,MSS,BI,0,3.8,BUOY,September,11/8/2021,11:31,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,124192,VR2W,115,NA,NA,BI_ES22,30.2467,-88.8939,MSS,BI,0,1.9,BUOY,September,9/9/2021,12:29,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112902,VR2W,115,NA,NA,BI_ES23,30.2508,-88.8878,MSS,BI,0,2.1,BUOY,September,9/9/2021,12:33,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112912,VR2W,115,NA,NA,BI_ES24,30.239,-88.8747,MSS,BI,0,4.2,BUOY,September,9/9/2021,9:55,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112914,VR2W,115,NA,NA,BI_ES25,30.2344,-88.8819,MSS,BI,0,4.4,BUOY,September,9/9/2021,9:58,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112905,VR2W,115,NA,NA,BI_ES26,30.228,-88.8872,MSS,BI,0,5.1,BUOY,September,9/9/2021,10:01,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,110876,VR2W,115,NA,NA,BI_HN1,30.2535,-88.7611,MSS,BI,0,5.8,BUOY,September,9/27/2021,16:33,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121069,VR2W,115,NA,NA,BI_HN2,30.256,-88.7302,MSS,BI,0,4.5,BUOY,September,9/27/2021,16:25,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,121057,VR2W,115,NA,NA,BI_HS1,30.2329,-88.76,MSS,BI,0,6.5,BUOY,September,9/27/2021,16:55,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112910,VR2W,115,NA,NA,BI_HS2,30.236,-88.7301,MSS,BI,0,5.7,BUOY,September,9/27/2021,17:05,,,ShipIsland,ERDC,GCRL,NA,,
MISSING,112917,VR2W,115,NA,NA,BI_NDK1,30.2559,-88.8561,MSS,BI,0,5.4,BUOY,September,9/27/2021,15:07,,,ShipIsland,ERDC,GCRL,NA,,
SHELVED,112909,VR2W,115,NA,NA,BI_NDK2,30.2561,-88.8323,MSS,BI,0,6,BUOY,September,9/27/2021,14:58,,,ShipIsland,ERDC,GCRL,NA,,
