Device,Station,Deployment Start,Deployment End,Latitude,Longitude,Device Depth,Notes
110873,PRE_02WPH90,9/24/2010 0:00,8/24/2012 23:59,30.38908,-88.6071,,
110875,PR_20Con_2,10/3/2010 0:00,4/12/2012 23:59,30.51561,-88.6019,,
110871,PRE_01EPH90,11/3/2010 0:00,8/24/2012 23:59,30.37828,-88.5641,,
111434,PR_20Con_2,6/7/2012 0:00,6/3/2021 23:59,30.51561,-88.6019,,
114591,PRE_02WPH90,9/20/2012 0:00,3/27/2013 23:59,30.38908,-88.6071,,
114592,PRE_01EPH90,9/20/2012 0:00,11/4/2015 23:59,30.37828,-88.5641,,
110873,PRE_02WPH90,3/28/2013 0:00,7/15/2013 23:59,30.38908,-88.6071,,
114591,PRE_02WPH90,7/15/2013 0:00,10/8/2017 23:59,30.38908,-88.6071,,
110874,PR_Billie.Joe.Johnson,10/23/2015 19:08,10/12/2023 23:59,30.61081,-88.64181,,
110878,PRE_01EPH90,12/15/2015 0:00,NA,30.37828,-88.5641,,missing 1/17/2025
119179,PR_NDL,3/26/2016 4:53,NA,30.65077,-88.63567,,missing 6/21/2022
110873,PR_McCoy,8/9/2016 4:09,,30.65945,-88.65472,,
111179,PR_Cumbest-4rkm,8/11/2017 6:28,NA,30.55857,-88.58312,,missing 9/14/22
106142,PRE_02WPH90,11/13/2017 0:00,4/20/2021 23:59,30.38908,-88.60709,,
119178,PR_English_Turn,1/1/2018 0:00,10/27/2020 23:59,30.6802,-88.6574,,last detection date
110880,PR_Big.Black,2/23/2018 2:07,,30.65364,-88.64928,,
125730,CH_Lower,3/20/2018 12:20,3/24/2019 23:59,30.99002,-88.72251,23,last detection date
132308,LF_Lower,3/20/2018 12:45,6/30/2019 23:59,30.98814,-88.74359,21,last detection date
132311,PR_SS_OG,3/20/2018 14:40,NA,31.35245,-89.30128,,missing 7/2/2018
134605,BO_Mouth,4/1/2019 0:00,,31.34488,-89.28221,,
134606,LF_N_BO,4/1/2019 0:00,NA,31.3503,-89.2811,,missing 09/14/2022
134607,BO_Glendale,4/1/2019 0:00,4/30/2024 16:12,31.3492,-89.306,,BROKEN
134604,PR_Cumbest,6/3/2019 20:51,12/17/2020 21:48,30.58183,-88.57207,,last detection date
132307,BO_R_SS,6/27/2019 15:35,6/16/2020 23:59,31.35167,-89.30342,19.5,
132346,PRE_MSC_Bluff_Creek,9/19/2019 0:00,NA,30.47615,-88.66589,,missing 11/17/23
132348,PRE_MSC_Bayou_Castille,9/19/2019 0:00,6/26/2024 9:24,30.47476,-88.64944,,
135790,PRE_Bluff_Creek_Mouth,6/17/2020 0:00,12/3/2021 12:08,30.45822,-88.6187,,
110870,PR_Cumbest+4rkm,6/19/2020 0:00,NA,30.59009,-88.5862,,missing 3/16/22
135791,PR_PMC,6/29/2020 0:00,,30.63362,-88.65176,,
136361,PRE_Crooked_Bayou,10/6/2020 0:00,5/25/2021 23:59,30.42824,-88.5984,9,
136363,PR_Con_NW,10/6/2020 0:00,,30.5171,-88.60134,12.5,
136365,PR_Con_SE,10/6/2020 0:00,NA,30.51637,-88.60083,10,missing 6/25/2024
136381,PRE_Black_Bird_Key,10/6/2020 0:00,5/25/2021 23:59,30.43054,-88.6113,,
136382,PRE_Esca_R_W_HWY613,10/6/2020 0:00,5/25/2021 16:36,30.41895,-88.521,8,
136383,PRE_Esca_Mouth,10/6/2020 0:00,NA,30.42356,-88.5542,7,missing 03/08/2022
136387,PRE_East_River_S_I10,10/6/2020 0:00,NA,30.4371,-88.5583,10.5,missing 03/08/2022
136389,PRE_Creole_Bayou_N,10/6/2020 5:22,NA,30.49941,-88.5834,15,missing 07/13/2023
136367,PRE_West_Round_1,10/15/2020 0:00,NA,30.30421,-88.6065,8.1,missing ??
136368,PRE_West_Round_2,10/15/2020 0:00,NA,30.3071,-88.6348,12.4,missing ??
136369,PRE_Pascagoula_Bay_E,10/15/2020 0:00,7/27/2021 23:59,30.34742,-88.59355,4.6,
136370,PRE_West_Round_3,10/15/2020 0:00,5/25/2021 23:59,30.31094,-88.66143,12.2,
136371,PRE_Pascagoula_Bay_WC,10/15/2020 0:00,NA,30.33489,-88.639,7.5,missing ??
136372,PRE_Pascagoula_Bay_SW,10/15/2020 0:00,5/25/2021 23:59,30.34049,-88.6684,8.2,
136375,PRE_Singing_River_Isl_NW,10/15/2020 0:00,5/25/2021 17:58,30.33523,-88.5868,3.6,
136377,PRE_Pascagoula_Bay_EC,10/15/2020 0:00,NA,30.33195,-88.6178,5.6,missing ??
136379,PRE_Rabbit_E,10/15/2020 0:00,NA,30.35811,-88.5933,5.1,missing ??
136380,PRE_Pascagoula_Bay_C,10/15/2020 0:00,NA,30.34702,-88.6175,3.6,missing ??
136384,PRE_Pascagoula_Bay_SE,10/15/2020 0:00,NA,30.32708,-88.5927,6.1,missing ??
136374,PRE_Bayou_Chemise_W,11/6/2020 0:00,5/25/2021 23:59,30.39419,-88.6017,10,
136376,PRE_Bayou_Chemise_E,11/6/2020 0:00,5/25/2021 23:59,30.39925,-88.585,10.2,
136378,PRE_Old_Place,11/6/2020 0:00,5/25/2021 23:59,30.3829,-88.6097,11.5,
136385,PRE_Marsh_Lake,11/6/2020 0:00,5/25/2021 23:59,30.3826,-88.5837,4.1,
136362,PRE_Shepard,11/11/2020 0:00,5/25/2021 23:59,30.36179,-88.6268,5.1,
136364,PRE_Twin_Islands_E,11/11/2020 0:00,5/25/2021 23:59,30.36009,-88.605,9.9,
136366,PRE_Krebs_Lake,11/11/2020 0:00,5/25/2021 23:59,30.38382,-88.55936,3.7,
136386,PRE_Bayou_Pierre ,11/11/2020 0:00,5/25/2021 23:59,30.37536,-88.6111,4,
136388,PRE_Pascagoula_Pier,11/11/2020 0:00,5/25/2021 23:59,30.33465,-88.536781,7.2,
136360,PRE_Catch-em-all,11/11/2020 13:03,5/25/2021 9:36,30.39677,-88.5695,5.1,
136124,LF_Hwy29,1/21/2021 0:00,8/26/2021 23:59,31.22138,-89.0529,,
136126,LF_Lower,1/21/2021 0:00,NA,30.98636,-88.7377,,missing ??
136130,PR_Merrill,1/21/2021 0:00,NA,30.97701,-88.7258,,missing ??
136131,LF_Sims,1/21/2021 0:00,NA,31.26069,-89.2265,,missing ??
136141,LF_Hwy15,1/21/2021 0:00,8/26/2021 23:59,31.18276,-88.9201,,
136144,CH_Lower,1/21/2021 0:00,8/30/2024 12:08,30.99262,-88.726,,
137119,BO_N_Upper,2/1/2021 12:00,NA,31.35841,-89.3236,,missing 05/03/2023
136146,BO_Lux,2/1/2021 13:00,8/23/2021 12:12,31.44306,-89.4061,3.5,
136127,CH_Leakesville,2/2/2021 0:00,8/26/2021 23:59,31.15435,-88.54784,6,
136132,LF_I588,2/2/2021 0:00,9/13/2021 11:04,31.6221,-89.32742,6,
136135,BO_ChurchRd,2/2/2021 0:00,2/16/2022 12:56,31.52556,-89.59633,6,
136136,BO_Seminary,2/2/2021 0:00,2/16/2022 23:59,31.56184,-89.5045,2.5,
136138,CH_Stonewall,2/2/2021 0:00,9/14/2021 11:27,32.12998,-88.8117,6,
136142,BO_Lower,2/2/2021 0:00,9/13/2021 23:59,31.37423,-89.3497,3,
136147,LF_Hwy84,2/2/2021 0:00,9/13/2021 9:50,31.70844,-89.40695,6,
136148,LF_I590,2/2/2021 0:00,9/13/2021 12:22,31.55571,-89.316567,6,
136149,CH_Enterprise,2/2/2021 0:00,9/14/2021 11:00,32.17464,-88.81944,6,
136150,BO_I589,2/2/2021 0:00,8/23/2021 23:59,31.47148,-89.52192,2.5,
136152,LF_SmithCo,2/2/2021 0:00,8/20/2021 23:59,31.82819,-89.4074,,
136153,BO_R_Peps_Point,2/2/2021 0:00,9/14/2021 23:59,31.3955,-89.36656,,
136170,BO_Hwy49,2/2/2021 0:00,9/13/2021 23:59,31.42551,-89.415524,,
485639,BO_N_Pit,2/2/2021 14:53,1/11/2023 14:55,31.35237,-89.3075,,
485638,BO_R_SS_N,2/2/2021 16:26,,31.35024,-89.3049,,
136129,LF_Eastabuchie,2/3/2021 0:00,NA,31.43561,-89.29932,,missing ??
136155,PE_S_Haley,2/3/2021 0:00,8/20/2021 23:59,32.02952,-90.24689,,
136158,PE_Bryam,2/3/2021 0:00,8/20/2021 23:59,32.17722,-90.24343,,
136159,PE_Holcomb_Branch,2/3/2021 0:00,8/20/2021 23:59,32.12015,-90.24136,,
136160,PE_Spillway,2/3/2021 0:00,8/20/2021 23:59,32.32571,-90.14644,,
136163,PE_Hopewell,2/3/2021 0:00,8/20/2021 23:59,31.95609,-90.19155,,
136173,PE_Jackson,2/3/2021 0:00,7/11/2023 13:46,32.23698,-90.20944,,
