OBJECTID,lat,lon,island,abbr
1,30.21020495,-88.41036406,Petit bois,P
2,30.20786069,-88.41479441,Petit bois,P
3,30.20605494,-88.41951893,Petit bois,P
4,30.20461911,-88.4242978,Petit bois,P
5,30.20257526,-88.42859318,Petit bois,P
6,30.20131609,-88.43357902,Petit bois,P
7,30.20026275,-88.43862251,Petit bois,P
8,30.19948552,-88.44373783,Petit bois,P
9,30.19891345,-88.44888393,Petit bois,P
10,30.19892128,-88.45407541,Petit bois,P
11,30.1989168,-88.4592518,Petit bois,P
12,30.20028597,-88.46418224,Petit bois,P
13,30.20150245,-88.4691414,Petit bois,P
14,30.20213186,-88.47428327,Petit bois,P
15,30.20268875,-88.47943697,Petit bois,P
16,30.20389209,-88.48442426,Petit bois,P
17,30.20539636,-88.48931455,Petit bois,P
18,30.20684759,-88.49422746,Petit bois,P
19,30.20850827,-88.49903393,Petit bois,P
20,30.21061181,-88.50358867,Petit bois,P
21,30.21385261,-88.50711636,Petit bois,P
22,30.21541407,-88.50436417,Petit bois,P
23,30.21338255,-88.49979104,Petit bois,P
24,30.21070779,-88.49561574,Petit bois,P
25,30.20885035,-88.49090115,Petit bois,P
26,30.20746819,-88.4859716,Petit bois,P
27,30.20639985,-88.48104049,Petit bois,P
28,30.20636664,-88.47590585,Petit bois,P
29,30.20419391,-88.47142862,Petit bois,P
30,30.20252768,-88.4666026,Petit bois,P
31,30.20145719,-88.46158118,Petit bois,P
32,30.20073285,-88.45649316,Petit bois,P
33,30.20051604,-88.45133959,Petit bois,P
34,30.20086394,-88.44618105,Petit bois,P
35,30.20263322,-88.44143565,Petit bois,P
36,30.20488286,-88.43700221,Petit bois,P
37,30.2070289,-88.43247302,Petit bois,P
38,30.20736254,-88.42743064,Petit bois,P
39,30.20738474,-88.4222423,Petit bois,P
40,30.20862652,-88.41731061,Petit bois,P
41,30.2108554,-88.41282245,Petit bois,P
42,30.21337259,-88.40862429,Petit bois,P
1,30.22525687,-88.59033931,Horn,H
2,30.22396015,-88.59527104,Horn,H
3,30.22347193,-88.60043409,Horn,H
4,30.22324755,-88.60561721,Horn,H
5,30.22386317,-88.61067629,Horn,H
6,30.2245998,-88.6154772,Horn,H
7,30.22492739,-88.62062737,Horn,H
8,30.22537428,-88.62579428,Horn,H
9,30.22585074,-88.63095918,Horn,H
10,30.2262182,-88.63613468,Horn,H
11,30.22661492,-88.64130328,Horn,H
12,30.22756603,-88.64636162,Horn,H
13,30.2283532,-88.65139018,Horn,H
14,30.22920072,-88.65623831,Horn,H
15,30.22999091,-88.66134706,Horn,H
16,30.23063364,-88.66648734,Horn,H
17,30.23122547,-88.67163691,Horn,H
18,30.23193828,-88.67676442,Horn,H
19,30.23287206,-88.68183191,Horn,H
20,30.23407713,-88.68683549,Horn,H
21,30.23543551,-88.69175167,Horn,H
22,30.23661588,-88.69675291,Horn,H
23,30.23798021,-88.70170415,Horn,H
24,30.23956495,-88.70656519,Horn,H
25,30.24176032,-88.71104246,Horn,H
26,30.24286561,-88.7159438,Horn,H
27,30.24254622,-88.72111129,Horn,H
28,30.24181955,-88.72623487,Horn,H
29,30.24120532,-88.7311975,Horn,H
30,30.24036214,-88.73621389,Horn,H
31,30.23972864,-88.74135415,Horn,H
32,30.23988377,-88.74651142,Horn,H
33,30.23969725,-88.75170081,Horn,H
34,30.23997979,-88.75671489,Horn,H
35,30.24035715,-88.76175008,Horn,H
36,30.24025572,-88.7668901,Horn,H
37,30.24039492,-88.77208028,Horn,H
38,30.240488,-88.77726533,Horn,H
39,30.24123964,-88.78230825,Horn,H
40,30.24301675,-88.78141435,Horn,H
41,30.24343667,-88.77651323,Horn,H
42,30.24265672,-88.77236368,Horn,H
43,30.242499,-88.76731263,Horn,H
44,30.24270423,-88.76212536,Horn,H
45,30.24360383,-88.75706542,Horn,H
46,30.24476497,-88.75207117,Horn,H
47,30.24606777,-88.74717489,Horn,H
48,30.24551658,-88.74208542,Horn,H
49,30.24577323,-88.73699335,Horn,H
50,30.24608393,-88.73195183,Horn,H
51,30.24749237,-88.72702915,Horn,H
52,30.24980613,-88.72259826,Horn,H
53,30.25204369,-88.71837458,Horn,H
54,30.2516485,-88.71351593,Horn,H
55,30.25014471,-88.708649,Horn,H
56,30.24916338,-88.70362186,Horn,H
57,30.24733936,-88.69887931,Horn,H
58,30.24531433,-88.69429448,Horn,H
59,30.24390354,-88.68936696,Horn,H
60,30.2428277,-88.68432556,Horn,H
61,30.24231486,-88.67918588,Horn,H
62,30.24048877,-88.67448306,Horn,H
63,30.23852829,-88.66985769,Horn,H
64,30.23666366,-88.66518545,Horn,H
65,30.23514624,-88.66034456,Horn,H
66,30.23430518,-88.65531098,Horn,H
67,30.23390565,-88.65018725,Horn,H
68,30.23295817,-88.64517444,Horn,H
69,30.23176071,-88.64030213,Horn,H
70,30.23103046,-88.63523819,Horn,H
71,30.23048614,-88.63019548,Horn,H
72,30.23003762,-88.6250892,Horn,H
73,30.22918767,-88.62005046,Horn,H
74,30.22846863,-88.61504141,Horn,H
75,30.22796495,-88.60990915,Horn,H
76,30.22694364,-88.604894,Horn,H
77,30.22622266,-88.59983181,Horn,H
78,30.22523209,-88.59484561,Horn,H
79,30.22710893,-88.590243,Horn,H
1,30.24480749,-89.06514652,Cat,C
2,30.24036219,-89.06566149,Cat,C
3,30.23620241,-89.06758362,Cat,C
4,30.23208159,-89.06964623,Cat,C
5,30.2280614,-89.07195573,Cat,C
6,30.22410152,-89.07443757,Cat,C
7,30.22029165,-89.07721084,Cat,C
8,30.21654833,-89.08010365,Cat,C
9,30.21303396,-89.08334773,Cat,C
10,30.20972492,-89.08676197,Cat,C
11,30.20708909,-89.09091199,Cat,C
12,30.20561904,-89.09524679,Cat,C
13,30.20836754,-89.09272789,Cat,C
14,30.21158634,-89.08927951,Cat,C
15,30.215166,-89.08884648,Cat,C
16,30.2156098,-89.09367889,Cat,C
17,30.21448003,-89.09862367,Cat,C
18,30.21450497,-89.10346799,Cat,C
19,30.21442012,-89.10843164,Cat,C
20,30.21577542,-89.10972734,Cat,C
21,30.21737358,-89.1085029,Cat,C
22,30.21820312,-89.1038979,Cat,C
23,30.21675445,-89.10395854,Cat,C
24,30.21757764,-89.10235443,Cat,C
25,30.21925171,-89.09840651,Cat,C
26,30.21872462,-89.09484638,Cat,C
27,30.21758304,-89.09240397,Cat,C
28,30.21665061,-89.08992779,Cat,C
29,30.21712806,-89.08980117,Cat,C
30,30.2190631,-89.08943635,Cat,C
31,30.21885928,-89.08572545,Cat,C
32,30.21940961,-89.08231029,Cat,C
33,30.22108964,-89.08242786,Cat,C
34,30.22110502,-89.08740237,Cat,C
35,30.22091998,-89.09197949,Cat,C
36,30.2213728,-89.09696093,Cat,C
37,30.22244188,-89.09684657,Cat,C
38,30.22127734,-89.10128509,Cat,C
39,30.2214151,-89.10592656,Cat,C
40,30.22287537,-89.11068645,Cat,C
41,30.22462989,-89.11479464,Cat,C
42,30.22516409,-89.11984491,Cat,C
43,30.22632109,-89.12461103,Cat,C
44,30.22641718,-89.12926157,Cat,C
45,30.22764809,-89.13413305,Cat,C
46,30.22817201,-89.13871034,Cat,C
47,30.22903286,-89.1434802,Cat,C
48,30.22993456,-89.14805011,Cat,C
49,30.23061565,-89.14311817,Cat,C
50,30.23067019,-89.13813702,Cat,C
51,30.23107213,-89.13308501,Cat,C
52,30.23114463,-89.12796468,Cat,C
53,30.23128209,-89.12279434,Cat,C
54,30.2305541,-89.11775859,Cat,C
55,30.23040176,-89.11278802,Cat,C
56,30.23027356,-89.10764564,Cat,C
57,30.23016157,-89.10258659,Cat,C
58,30.23056601,-89.09861439,Cat,C
59,30.23017594,-89.09354385,Cat,C
60,30.23058364,-89.0898678,Cat,C
61,30.23055925,-89.08641839,Cat,C
62,30.22835197,-89.08461826,Cat,C
63,30.22838408,-89.08877956,Cat,C
64,30.22701615,-89.08534401,Cat,C
65,30.22773551,-89.08275746,Cat,C
66,30.22970949,-89.0806023,Cat,C
67,30.23009774,-89.07734359,Cat,C
68,30.23409122,-89.07533702,Cat,C
69,30.23797909,-89.07273744,Cat,C
70,30.2421656,-89.0708279,Cat,C
71,30.24641447,-89.06915483,Cat,C
1,30.24584806,-88.87241639,Ship,S
2,30.24212325,-88.87533135,Ship,S
3,30.23915086,-88.87922957,Ship,S
4,30.23636895,-88.88331711,Ship,S
5,30.23375913,-88.88755201,Ship,S
6,30.23128099,-88.89189144,Ship,S
7,30.22891937,-88.89631025,Ship,S
8,30.22654326,-88.90071421,Ship,S
9,30.22425055,-88.90511532,Ship,S
10,30.2220542,-88.9095884,Ship,S
11,30.22059161,-88.91426928,Ship,S
12,30.21864736,-88.91882866,Ship,S
13,30.21731197,-88.92368913,Ship,S
14,30.21613783,-88.9286994,Ship,S
15,30.21522581,-88.93378433,Ship,S
16,30.21441891,-88.93889041,Ship,S
17,30.21343803,-88.94394531,Ship,S
18,30.21164208,-88.9486904,Ship,S
19,30.21001573,-88.95352108,Ship,S
20,30.20862552,-88.958423,Ship,S
21,30.20797027,-88.96355854,Ship,S
22,30.2076135,-88.96871716,Ship,S
23,30.2072616,-88.97388444,Ship,S
24,30.20794538,-88.97897907,Ship,S
25,30.20961338,-88.98364967,Ship,S
26,30.21168336,-88.98463452,Ship,S
27,30.21182733,-88.97961863,Ship,S
28,30.21301451,-88.97462929,Ship,S
29,30.2134843,-88.96947933,Ship,S
30,30.21322174,-88.96434592,Ship,S
31,30.21285225,-88.95919324,Ship,S
32,30.21356521,-88.95410765,Ship,S
33,30.21595508,-88.94980713,Ship,S
34,30.21807723,-88.94591329,Ship,S
35,30.21852536,-88.94235982,Ship,S
36,30.21658902,-88.94351902,Ship,S
37,30.2174548,-88.93849136,Ship,S
38,30.21852581,-88.93344721,Ship,S
39,30.21965688,-88.92841982,Ship,S
40,30.22085187,-88.92341292,Ship,S
41,30.22221007,-88.91846103,Ship,S
42,30.22397178,-88.91368,Ship,S
43,30.22595731,-88.90904465,Ship,S
44,30.22884291,-88.90505369,Ship,S
45,30.23121546,-88.90064097,Ship,S
46,30.23360561,-88.89623742,Ship,S
47,30.23598318,-88.89183785,Ship,S
48,30.23915478,-88.88831253,Ship,S
49,30.24172906,-88.88414106,Ship,S
50,30.24448556,-88.88025623,Ship,S
51,30.247012,-88.87595371,Ship,S
52,30.24971028,-88.87182276,Ship,S
1,30.38906277,-88.88628905,Deer,D
2,30.38915829,-88.88123278,Deer,D
3,30.38813563,-88.87617719,Deer,D
4,30.38575143,-88.87194017,Deer,D
5,30.3834805,-88.86752699,Deer,D
6,30.38192579,-88.8627927,Deer,D
7,30.380267,-88.85807345,Deer,D
8,30.37865667,-88.85327168,Deer,D
9,30.37744787,-88.84829286,Deer,D
10,30.37564887,-88.84359139,Deer,D
11,30.37417443,-88.83869507,Deer,D
12,30.37270761,-88.8341085,Deer,D
13,30.37265988,-88.82954101,Deer,D
14,30.36999686,-88.82560326,Deer,D
15,30.36720483,-88.82200891,Deer,D
16,30.36423919,-88.81901938,Deer,D
17,30.36027729,-88.81865346,Deer,D
18,30.36257971,-88.82299534,Deer,D
19,30.36493186,-88.82737698,Deer,D
20,30.36721234,-88.83186257,Deer,D
21,30.36913842,-88.8365536,Deer,D
22,30.37097393,-88.8412964,Deer,D
23,30.36934861,-88.84009868,Deer,D
24,30.36774956,-88.83523948,Deer,D
25,30.36524676,-88.83102469,Deer,D
26,30.36349391,-88.826269,Deer,D
27,30.36414493,-88.82915127,Deer,D
28,30.36582701,-88.83397024,Deer,D
29,30.36830267,-88.83827529,Deer,D
